time,flux,flux_err
0.000000000000000000e+00,1.000609434159508870e+00,2.000000000000000042e-03
2.040000000000000147e-02,9.979200317875189796e-01,2.000000000000000042e-03
4.080000000000000293e-02,1.001500902391612824e+00,2.000000000000000042e-03
6.120000000000000440e-02,1.001881129432782513e+00,2.000000000000000042e-03
8.160000000000000586e-02,9.960979296226922797e-01,2.000000000000000042e-03
1.020000000000000073e-01,9.973956409862753114e-01,2.000000000000000042e-03
1.224000000000000088e-01,1.000255680806334535e+00,2.000000000000000042e-03
1.428000000000000103e-01,9.993675148153128296e-01,2.000000000000000042e-03
1.632000000000000117e-01,9.999663976849914038e-01,2.000000000000000042e-03
1.836000000000000132e-01,9.982939121448528574e-01,2.000000000000000042e-03
2.040000000000000147e-01,1.001758795949725611e+00,2.000000000000000042e-03
2.244000000000000161e-01,1.001555583870857857e+00,2.000000000000000042e-03
2.448000000000000176e-01,1.000132061395122340e+00,2.000000000000000042e-03
2.651999999999999913e-01,1.002254482413936110e+00,2.000000000000000042e-03
2.856000000000000205e-01,1.000935018684504074e+00,2.000000000000000042e-03
3.060000000000000497e-01,9.982814150742335135e-01,2.000000000000000042e-03
3.264000000000000234e-01,1.000737501568164989e+00,2.000000000000000042e-03
3.467999999999999972e-01,9.980822347983420162e-01,2.000000000000000042e-03
3.672000000000000264e-01,1.001756900602614575e+00,2.000000000000000042e-03
3.876000000000000556e-01,9.999001481780275258e-01,2.000000000000000042e-03
4.080000000000000293e-01,9.996302752729094854e-01,2.000000000000000042e-03
4.284000000000000030e-01,9.986381409111920737e-01,2.000000000000000042e-03
4.488000000000000322e-01,9.965784160106814227e-01,2.000000000000000042e-03
4.692000000000000615e-01,9.896909410358624148e-01,2.000000000000000042e-03
4.896000000000000352e-01,9.891433443556737481e-01,2.000000000000000042e-03
5.100000000000000089e-01,9.892957328990235055e-01,2.000000000000000042e-03
5.303999999999999826e-01,9.910646183711067092e-01,2.000000000000000042e-03
5.508000000000000673e-01,9.945975547953949114e-01,2.000000000000000042e-03
5.712000000000000410e-01,1.000825465223192046e+00,2.000000000000000042e-03
5.916000000000000147e-01,1.000861642006015684e+00,2.000000000000000042e-03
6.120000000000000995e-01,1.004283295201740867e+00,2.000000000000000042e-03
6.324000000000000732e-01,9.991871699672307816e-01,2.000000000000000042e-03
6.528000000000000469e-01,9.989755145418569571e-01,2.000000000000000042e-03
6.732000000000000206e-01,9.983724545435042064e-01,2.000000000000000042e-03
6.935999999999999943e-01,1.001231958845151038e+00,2.000000000000000042e-03
7.140000000000000790e-01,1.002257944585441818e+00,2.000000000000000042e-03
7.344000000000000528e-01,9.997721050846902768e-01,2.000000000000000042e-03
7.548000000000000265e-01,9.983196870460749883e-01,2.000000000000000042e-03
7.752000000000001112e-01,9.983510375686175387e-01,2.000000000000000042e-03
7.956000000000000849e-01,1.001301185575649511e+00,2.000000000000000042e-03
8.160000000000000586e-01,1.001486508342406934e+00,2.000000000000000042e-03
8.364000000000000323e-01,1.001086308536610403e+00,2.000000000000000042e-03
8.568000000000000060e-01,9.986689805854226387e-01,2.000000000000000042e-03
