time,mag,mag_err
2.240545231245572033e-01,1.215015472593196399e+01,2.000000000000000042e-02
3.107319489259285916e-01,1.215545217478011431e+01,2.000000000000000042e-02
3.159182739344834623e-01,1.215697648162257138e+01,2.000000000000000042e-02
7.076415325503515596e-01,1.213991457679806807e+01,2.000000000000000042e-02
8.562713810766364730e-01,1.215287438441797363e+01,2.000000000000000042e-02
1.212934401368812587e+00,1.211198902457100068e+01,2.000000000000000042e-02
1.264521266633464869e+00,1.209622613352171783e+01,2.000000000000000042e-02
1.511812248105621759e+00,1.205836906868280067e+01,2.000000000000000042e-02
1.602141005177077915e+00,1.204316213709320493e+01,2.000000000000000042e-02
1.817330035896118634e+00,1.205240379855072952e+01,2.000000000000000042e-02
1.821017663046697876e+00,1.202990325405073513e+01,2.000000000000000042e-02
2.140816726415768478e+00,1.197587075872637996e+01,2.000000000000000042e-02
2.283437201474345368e+00,1.194407314989288338e+01,2.000000000000000042e-02
2.339150461982721918e+00,1.191738165654303394e+01,2.000000000000000042e-02
2.381185107540000345e+00,1.192854833332988740e+01,2.000000000000000042e-02
2.636520477683002017e+00,1.187069674234592931e+01,2.000000000000000042e-02
2.799134277233230605e+00,1.179326741582507232e+01,2.000000000000000042e-02
3.042243316336230574e+00,1.176103670996372941e+01,2.000000000000000042e-02
3.042578757963672054e+00,1.176117087318674770e+01,2.000000000000000042e-02
3.555098540730217138e+00,1.197776050343219367e+01,2.000000000000000042e-02
3.711925089382448473e+00,1.203390362658163149e+01,2.000000000000000042e-02
3.852720009966217329e+00,1.212110671140872320e+01,2.000000000000000042e-02
4.122921127311691691e+00,1.214838256386427418e+01,2.000000000000000042e-02
4.652794341060168648e+00,1.213276685453981507e+01,2.000000000000000042e-02
4.875738666959428258e+00,1.208763487807892822e+01,2.000000000000000042e-02
4.891887618154404649e+00,1.211367382815206994e+01,2.000000000000000042e-02
5.489736303782740023e+00,1.205523536782030725e+01,2.000000000000000042e-02
5.774740657682608358e+00,1.197745250895471081e+01,2.000000000000000042e-02
5.802245635904736965e+00,1.196792807190874264e+01,2.000000000000000042e-02
5.808462530188083228e+00,1.198292631070323644e+01,2.000000000000000042e-02
6.065938071279526334e+00,1.193346351623962498e+01,2.000000000000000042e-02
6.744344489554738864e+00,1.174577501043013150e+01,2.000000000000000042e-02
6.763019503372198926e+00,1.177578159027369686e+01,2.000000000000000042e-02
6.792297151513380093e+00,1.180952491237251500e+01,2.000000000000000042e-02
7.373526132300560754e+00,1.204018973430081196e+01,2.000000000000000042e-02
7.544491052050150692e+00,1.211897656939100365e+01,2.000000000000000042e-02
7.748276488459486799e+00,1.214286021245534997e+01,2.000000000000000042e-02
7.841054748436599553e+00,1.217143209732681086e+01,2.000000000000000042e-02
7.864739297479241387e+00,1.213914251074023021e+01,2.000000000000000042e-02
7.896948948498343057e+00,1.213995262535047992e+01,2.000000000000000042e-02
7.992398540980696353e+00,1.217846399236569432e+01,2.000000000000000042e-02
8.023271330311361638e+00,1.213112006283488142e+01,2.000000000000000042e-02
8.205843092554891527e+00,1.214919810566218317e+01,2.000000000000000042e-02
8.727597225655614466e+00,1.212267188626127457e+01,2.000000000000000042e-02
9.011983744227112680e+00,1.205943658356742887e+01,2.000000000000000042e-02
9.047281150102122638e+00,1.205946536006792158e+01,2.000000000000000042e-02
9.063736684608930005e+00,1.208468875526906494e+01,2.000000000000000042e-02
9.267664863686391641e+00,1.200865914306833915e+01,2.000000000000000042e-02
9.612722031470672945e+00,1.195165363294904637e+01,2.000000000000000042e-02
9.690739616819953994e+00,1.192251882730955792e+01,2.000000000000000042e-02
9.960669182833022717e+00,1.187928992027240938e+01,2.000000000000000042e-02
1.076436165402879119e+01,1.189184983927705019e+01,2.000000000000000042e-02
1.083314990693469859e+01,1.192027730280212872e+01,2.000000000000000042e-02
1.103336379058147010e+01,1.200377735653355771e+01,2.000000000000000042e-02
1.105621277198979513e+01,1.201859971661856541e+01,2.000000000000000042e-02
1.122860319244312954e+01,1.210731130930845900e+01,2.000000000000000042e-02
1.125020006135799377e+01,1.213081877012529297e+01,2.000000000000000042e-02
1.145029220938063119e+01,1.215977940895922416e+01,2.000000000000000042e-02
1.147516080509384295e+01,1.216935308770828783e+01,2.000000000000000042e-02
1.154412863911863774e+01,1.217088540040266409e+01,2.000000000000000042e-02
1.154780969809994318e+01,1.215884526459016968e+01,2.000000000000000042e-02
1.183695418990479098e+01,1.213448741250791052e+01,2.000000000000000042e-02
1.191126887956037095e+01,1.213114022367432199e+01,2.000000000000000042e-02
1.203640343921971123e+01,1.211451514096427573e+01,2.000000000000000042e-02
1.217470513281097233e+01,1.211828405727376889e+01,2.000000000000000042e-02
1.277449169852035205e+01,1.208125712840240951e+01,2.000000000000000042e-02
1.288057636462579936e+01,1.203806591012172333e+01,2.000000000000000042e-02
1.290024224135280129e+01,1.202417757537382315e+01,2.000000000000000042e-02
1.290346677828561539e+01,1.198882444196541641e+01,2.000000000000000042e-02
1.291852189413593699e+01,1.202792112114740775e+01,2.000000000000000042e-02
1.351243139943551164e+01,1.188314635951296339e+01,2.000000000000000042e-02
1.358540896182864444e+01,1.187367483804000123e+01,2.000000000000000042e-02
1.436935276091069191e+01,1.183399208028221494e+01,2.000000000000000042e-02
