parallax,parallax_error
7.570680937118222431e+00,8.000000000000000167e-02
7.202954204902273005e+00,8.000000000000000167e-02
7.440855315145469717e+00,8.000000000000000167e-02
7.361985838917172842e+00,8.000000000000000167e-02
7.371195464038572176e+00,8.000000000000000167e-02
7.390159634360226271e+00,8.000000000000000167e-02
7.245808517075627009e+00,8.000000000000000167e-02
7.388852817195872724e+00,8.000000000000000167e-02
7.338190361305412246e+00,8.000000000000000167e-02
7.673247368738998375e+00,8.000000000000000167e-02
7.425470336465640919e+00,8.000000000000000167e-02
7.379196943860080182e+00,8.000000000000000167e-02
7.384904413955299063e+00,8.000000000000000167e-02
7.353963699718691238e+00,8.000000000000000167e-02
7.322995363310997874e+00,8.000000000000000167e-02
7.376143329228635359e+00,8.000000000000000167e-02
7.445963038487950492e+00,8.000000000000000167e-02
7.388323118881538143e+00,8.000000000000000167e-02
7.484028103644188690e+00,8.000000000000000167e-02
7.391423237082080711e+00,8.000000000000000167e-02
7.409348172613540839e+00,8.000000000000000167e-02
7.531073075504432168e+00,8.000000000000000167e-02
7.451015849222419440e+00,8.000000000000000167e-02
7.366989108558286148e+00,8.000000000000000167e-02
7.392780289439588870e+00,8.000000000000000167e-02
7.450649417947791342e+00,8.000000000000000167e-02
7.562214450135315680e+00,8.000000000000000167e-02
7.385837781220054410e+00,8.000000000000000167e-02
7.387922713081079173e+00,8.000000000000000167e-02
7.487592495509463042e+00,8.000000000000000167e-02
7.336490611954560315e+00,8.000000000000000167e-02
7.384069788812218427e+00,8.000000000000000167e-02
7.478010524803925918e+00,8.000000000000000167e-02
7.453835408702679466e+00,8.000000000000000167e-02
7.414728743669996014e+00,8.000000000000000167e-02
7.461015755793686033e+00,8.000000000000000167e-02
7.181154422859906461e+00,8.000000000000000167e-02
7.489111952807413708e+00,8.000000000000000167e-02
7.330635826622756035e+00,8.000000000000000167e-02
7.273917819994929701e+00,8.000000000000000167e-02
7.429523068169087807e+00,8.000000000000000167e-02
7.463450998235358291e+00,8.000000000000000167e-02
7.371826010952784891e+00,8.000000000000000167e-02
7.321294940199343237e+00,8.000000000000000167e-02
7.409497394090130307e+00,8.000000000000000167e-02
7.403187622747976704e+00,8.000000000000000167e-02
7.519855260688855125e+00,8.000000000000000167e-02
7.467200046405755742e+00,8.000000000000000167e-02
7.422912659108576783e+00,8.000000000000000167e-02
7.496338063825326969e+00,8.000000000000000167e-02
7.390965563414944484e+00,8.000000000000000167e-02
7.333335441515537845e+00,8.000000000000000167e-02
7.454132072289427313e+00,8.000000000000000167e-02
7.454010480899862401e+00,8.000000000000000167e-02
7.390221094517259282e+00,8.000000000000000167e-02
7.344782721170290074e+00,8.000000000000000167e-02
7.425739719824468565e+00,8.000000000000000167e-02
7.207895865130768520e+00,8.000000000000000167e-02
7.462617389020432590e+00,8.000000000000000167e-02
7.446716868267007072e+00,8.000000000000000167e-02
7.276298835896167994e+00,8.000000000000000167e-02
7.412315688194460961e+00,8.000000000000000167e-02
7.330279434324108223e+00,8.000000000000000167e-02
7.467985090988059405e+00,8.000000000000000167e-02
7.244674025531932848e+00,8.000000000000000167e-02
7.334247844367840052e+00,8.000000000000000167e-02
7.464173806426773083e+00,8.000000000000000167e-02
7.499919491281979766e+00,8.000000000000000167e-02
7.234766976997311083e+00,8.000000000000000167e-02
7.367564219827302807e+00,8.000000000000000167e-02
7.433649014810813860e+00,8.000000000000000167e-02
7.358670116371417436e+00,8.000000000000000167e-02
7.534658625913259300e+00,8.000000000000000167e-02
7.312109272877984623e+00,8.000000000000000167e-02
7.435769963110361758e+00,8.000000000000000167e-02
7.323534965923846229e+00,8.000000000000000167e-02
7.519884442858198348e+00,8.000000000000000167e-02
7.405675309082962343e+00,8.000000000000000167e-02
7.377627362287357826e+00,8.000000000000000167e-02
7.269952611428798228e+00,8.000000000000000167e-02
7.541953451012742171e+00,8.000000000000000167e-02
7.467629694823198605e+00,8.000000000000000167e-02
7.467692514408156512e+00,8.000000000000000167e-02
7.498437908120830109e+00,8.000000000000000167e-02
7.435345533657249817e+00,8.000000000000000167e-02
7.356267678561294154e+00,8.000000000000000167e-02
7.343388109244999740e+00,8.000000000000000167e-02
7.343391409058527053e+00,8.000000000000000167e-02
7.517013194714104785e+00,8.000000000000000167e-02
7.290576911311774211e+00,8.000000000000000167e-02
7.359697846465744320e+00,8.000000000000000167e-02
7.381707893864511760e+00,8.000000000000000167e-02
7.425376929435334894e+00,8.000000000000000167e-02
7.453435358488031959e+00,8.000000000000000167e-02
7.307479646679763796e+00,8.000000000000000167e-02
7.269006331305605251e+00,8.000000000000000167e-02
7.407054268797650387e+00,8.000000000000000167e-02
7.504492513430293776e+00,8.000000000000000167e-02
7.467972052151129247e+00,8.000000000000000167e-02
7.424659470103404324e+00,8.000000000000000167e-02
7.382034955886019212e+00,8.000000000000000167e-02
7.430866103071425144e+00,8.000000000000000167e-02
7.387940600548033032e+00,8.000000000000000167e-02
7.472783933846814719e+00,8.000000000000000167e-02
7.343851620296456773e+00,8.000000000000000167e-02
7.418146603174314180e+00,8.000000000000000167e-02
7.398544996518479522e+00,8.000000000000000167e-02
7.450876158569819552e+00,8.000000000000000167e-02
7.425378489299357732e+00,8.000000000000000167e-02
7.611410178312040031e+00,8.000000000000000167e-02
7.527299788058246399e+00,8.000000000000000167e-02
7.527146380648888524e+00,8.000000000000000167e-02
7.244247100399835659e+00,8.000000000000000167e-02
