dist_mpc,vel_kms
1.629505555116222411e+02,1.184158480349950696e+04
1.635087500499338091e+02,1.128357314137184949e+04
1.079118565980069775e+02,6.922490158834820249e+03
6.430226221674689668e+01,4.326948443525445327e+03
2.024683345251472133e+01,1.417282871625418466e+03
8.284008734924846351e+01,6.155455318008603172e+03
8.760990902979973782e+01,5.828353190805253689e+03
1.860228684146458278e+01,1.502165076673143631e+03
1.926396503816193118e+01,1.587067282551820199e+03
1.998434618623635686e+02,1.377922583786834730e+04
1.339501312017176531e+02,9.320232272524544896e+03
5.455693831726654963e+01,4.349820753128035904e+03
9.264003492277699081e+01,7.000947868642235335e+03
1.950953767192585246e+02,1.391333297181866510e+04
1.805587455406242725e+02,1.273869609569742170e+04
1.704038971456607783e+02,1.226976568648521607e+04
8.455688622360784734e+01,5.876778849967967290e+03
1.036743735590310962e+02,7.228678229422639561e+03
1.385709768479025570e+02,9.441860337494983469e+03
2.155251546203065161e+01,1.510345097742767393e+03
1.155632622149374527e+02,8.064823367571607378e+03
6.157580486071928760e+01,5.142395840461160333e+03
1.771337229336351982e+02,1.234150765562033303e+04
2.220074308931629048e+01,1.935297413256171694e+03
1.390444912740593395e+02,1.012926357150215335e+04
1.753168154422256464e+02,1.221623347038130123e+04
5.319051978057254360e+01,4.074155542330116987e+03
1.801351654886839242e+02,1.195641748936237309e+04
1.757171389246236402e+02,1.232867788018018837e+04
1.351827135734004237e+01,1.203457414853690807e+03
1.444241577940636887e+02,9.390331463781023558e+03
1.022793988149744315e+01,3.682044322303916033e+02
1.056391534551962508e+02,7.711562827075785208e+03
9.296673991337401333e+01,6.430568563240778531e+03
4.861803886176731027e+01,3.073803112177423827e+03
7.173910246936515023e+01,4.909658472299330242e+03
1.631809128951382775e+02,1.125988741072933772e+04
7.012589660685313220e+01,5.126146956480282824e+03
3.831733087137560290e+01,2.818378924834185909e+03
1.427172781604790543e+02,9.906140969426804077e+03
9.522337914447147966e+01,6.466033734424410795e+03
1.617985032829954548e+02,1.130973253064137862e+04
5.474812688817257111e+01,4.229915660375646439e+03
7.075908432047440044e+01,5.057843736206634276e+03
1.619771099504411325e+02,1.153008137462372906e+04
1.063429463954443435e+02,7.398801768518537756e+03
1.062131502700984811e+02,7.047375643884030069e+03
5.487688439521406991e+01,3.628128846988847272e+03
1.276189326912452060e+01,1.088703498607900656e+03
1.873125410428324074e+02,1.314284270377269240e+04
2.630690030649769540e+01,1.570331060806798178e+03
1.705360922799858940e+02,1.145216533191815688e+04
7.989734039318817338e+01,5.626018397628600724e+03
1.906943664272018850e+02,1.324674634729468198e+04
8.589079969997321484e+01,5.907196913414307346e+03
1.879239917499805870e+02,1.305584443526031646e+04
1.156703573514404439e+02,8.182096548645761686e+03
5.562571237752740672e+01,3.982134183912758999e+03
1.508701173052844240e+02,1.084954677643602918e+04
1.381340458284849433e+02,9.947909682126361076e+03
1.399989903530736797e+02,1.019955724886318785e+04
9.812662841583977524e+01,7.110772906143402906e+03
5.215882624124639477e+01,3.550435426888940128e+03
1.317786268814490711e+02,9.208223197828358025e+03
3.034700426608442925e+01,2.272554827075339290e+03
1.415222321825176834e+02,9.813468571775811142e+03
1.307234919792350354e+02,9.315476072630419367e+03
8.153737986166152041e+01,6.053699433414803025e+03
1.617194357031600589e+02,1.107998669623138267e+04
4.686484044133846538e+01,2.749423615639742820e+03
8.418719362156710417e+01,6.251200040097164674e+03
1.616074383584339955e+02,1.131784865819088373e+04
8.229032042223148835e+01,5.972923376489594375e+03
1.455189941836459013e+02,9.786637986539455596e+03
1.263783827914092512e+02,9.366384563542096657e+03
1.887901852960943643e+02,1.343689893756714446e+04
1.984185762281373115e+02,1.385147808386217184e+04
1.474984883836513063e+02,1.021929777521406686e+04
1.636803237165872815e+02,1.149179142429768217e+04
3.904435439767784288e+01,2.683085405667844043e+03
1.454491498876479909e+02,1.009783345396220284e+04
1.710486322483614288e+02,1.163752426472762818e+04
8.623289211859997749e+01,6.415145279978311919e+03
1.151175075607727791e+02,8.046352223883227452e+03
1.011026728345638048e+02,7.099577789636347006e+03
1.921193699618805795e+02,1.347623069391178251e+04
7.028278965257598543e+01,4.212330074657756995e+03
8.639606011817551234e+01,6.205866645709583281e+03
1.017475993106449472e+01,6.134867159869070292e+02
8.983506159169478167e+01,6.201685772040930715e+03
1.299728601651351028e+02,9.119036573331899490e+03
1.876426078954635557e+02,1.284323987108392430e+04
1.854985511039695893e+02,1.323791282027418310e+04
7.219646453157858446e+01,4.844993130068397477e+03
1.978835948676136525e+02,1.358075422431909101e+04
4.565823864455857262e+01,2.937419824824387888e+03
1.664178834268460037e+02,1.169687764842119759e+04
3.987930254596847135e+01,3.015285020526533117e+03
8.696874404362031896e+01,5.909296112389543850e+03
2.395992924338273866e+01,1.224139044262205516e+03
1.730273969276233004e+02,1.243066499287971055e+04
1.674716334855392574e+02,1.140348926547473820e+04
3.655996672311609075e+01,2.917646781177100820e+03
1.101502305458456874e+02,7.694227375116063740e+03
5.904688441409821564e+01,3.923776940779649067e+03
1.034373830035788728e+02,7.048604825509805778e+03
1.151091411303572869e+02,8.196199731232769409e+03
3.018978972776386982e+01,2.380096819442510423e+03
1.742313569892151861e+02,1.213674392097069540e+04
6.295230061651928111e+01,4.690741357867837905e+03
9.495343109913092405e+01,7.272833639238955584e+03
2.087913337599226082e+01,1.399046832741455091e+03
1.052158921756518772e+01,3.916772528603925139e+02
4.708030910342738906e+01,2.979301532680781747e+03
7.491828498248472101e+01,4.827179342273581824e+03
1.863415499927690178e+02,1.285200886421167706e+04
1.790483748168140039e+02,1.231625246609742499e+04
1.012951931627678164e+02,6.693132522703871473e+03
9.640436553069044123e+01,6.907360863562381383e+03
1.367286783322373367e+02,8.787605781764659696e+03
1.731634314673722770e+02,1.172520051120812604e+04
7.408652609225281083e+01,5.790632368312859398e+03
1.607943602741446512e+02,1.156694594772915116e+04
8.580757808672832709e+01,6.163367971073952504e+03
1.228702376536644039e+02,8.738094353443111686e+03
1.501187267301431234e+02,1.103959202295016439e+04
1.052578688392539732e+02,7.528739709633388884e+03
1.412473965292728906e+02,9.910590883217266310e+03
1.424895616481722129e+02,9.605221267136685128e+03
1.108541108630445393e+01,7.538787308426334448e+02
1.742245131860473961e+01,9.994063928078853678e+02
3.831727905495441178e+01,2.470356951375902099e+03
5.059067552635418252e+01,3.327075606844560753e+03
4.861077534796105937e+01,3.389360214949530473e+03
1.930346053306043075e+01,1.252328991391607588e+03
5.127016642745817165e+01,3.850244803202400362e+03
1.241800001860564180e+02,8.294745580450429770e+03
1.783542806717670999e+02,1.243395858800083806e+04
7.640572345783792230e+01,5.906249890979005613e+03
7.961691179221261905e+01,5.584853026613375732e+03
8.918092929750611120e+01,6.602249617260020386e+03
1.392649387787648436e+02,1.008960476367453339e+04
1.592020509196742353e+02,1.153913791047840459e+04
1.887820356388229186e+02,1.343617824557517815e+04
8.138300788114520401e+01,5.282676742304296567e+03
1.442870988500453677e+02,1.001988060776707425e+04
7.491046189509228270e+01,5.129631657915873802e+03
1.665603417421401389e+02,1.119456733064978289e+04
5.382329171037927296e+01,3.628465933374007818e+03
1.754926052498310298e+02,1.190945841694803130e+04
1.059699980890706996e+02,6.918234432429133449e+03
1.478153660170715398e+02,1.041034449816344386e+04
1.116486728020645387e+02,7.802329714410819179e+03
7.006305636426770889e+01,4.698069472626184506e+03
1.039173608553061143e+02,6.989039351087571049e+03
1.958557859502397847e+01,1.208608469029915113e+03
1.816858733187659780e+01,1.153574002419203907e+03
1.106930320165186146e+02,7.626079156381521898e+03
1.006631504215349651e+02,7.030608205128907684e+03
1.682960919747912385e+02,1.165006423604709016e+04
1.382329740338656521e+01,1.083722412948419333e+03
1.158079240326838431e+02,8.263415950739601612e+03
1.032210498262116545e+02,7.332834391129224969e+03
1.236194561346249259e+02,8.454430875065969303e+03
1.486199385842676861e+02,1.021844385689411502e+04
1.097007156726263162e+02,7.809509328125128377e+03
1.169772618677106379e+02,8.129295497196766519e+03
1.034389371256086747e+02,7.227780086211234448e+03
1.268893297929960511e+02,8.134654510416361518e+03
5.714417086004305446e+01,3.190060766237143071e+03
1.149965515311907183e+02,8.150903064803974303e+03
1.377534954981429678e+02,9.741612281775234806e+03
4.631142837152019354e+01,3.659829547439488124e+03
1.981697453071478208e+02,1.408823110716911287e+04
1.518273010726158248e+02,1.069443271513352011e+04
1.915129406923571196e+02,1.341081458529160227e+04
6.584981052576831928e+01,4.181464608340962513e+03
9.426364655301684081e+01,6.863408025600949259e+03
5.967332535082285006e+01,3.996056969945731453e+03
1.887140692066570935e+01,1.471743820821610143e+03
1.316859927140848718e+01,9.818144426300132181e+02
5.688208982035212102e+01,4.063375393652258936e+03
1.736398811275523144e+02,1.242259424359173499e+04
4.110189051404794469e+01,2.730172502389751571e+03
1.410282940359225279e+02,9.755810028028712622e+03
5.738255917444029564e+01,3.760020700205240701e+03
2.246075796489425258e+01,1.459107450507146723e+03
4.657244685880233703e+01,3.759853494331535785e+03
1.388060051833848831e+02,9.607424762850827392e+03
1.053146789088699364e+02,7.727712417278979046e+03
1.143158978109992887e+02,8.249916276892592577e+03
9.610121288433410314e+01,6.945869439380182484e+03
6.212610608218482611e+01,4.589731966874585851e+03
1.027860878988267217e+02,6.890743186448779852e+03
1.852647641849168565e+02,1.308056779660981010e+04
4.828403633548153095e+01,3.856406172729131868e+03
1.492194800189675732e+02,1.023662482042843112e+04
5.771463905767218705e+01,4.025892608360730719e+03
4.674904910979832096e+01,3.065685690537423397e+03
7.153062251412472961e+01,5.102247029352645768e+03
