freq_icm,intensity_MJy_sr,uncertainty_MJy_sr
2.27,200.723,0.014
2.72,249.508,0.019
3.18,293.024,0.025
3.63,327.77,0.023
4.08,354.081,0.022
4.54,372.079,0.021
4.99,381.493,0.018000000000000002
5.45,383.478,0.018000000000000002
5.9,378.901,0.016
6.35,368.833,0.014
6.81,354.063,0.013000000000000001
7.26,336.278,0.012
7.71,316.076,0.011
8.17,293.924,0.01
8.62,271.432,0.011
9.08,248.239,0.012
9.53,225.94,0.014
9.98,204.327,0.016
10.44,183.262,0.018000000000000002
10.89,163.83,0.022
11.34,145.75,0.022
11.8,128.835,0.023
12.25,113.568,0.023
12.71,99.451,0.023
13.16,87.036,0.022
13.61,75.876,0.021
14.07,65.766,0.02
14.52,57.008,0.019
14.97,49.223,0.019
15.43,42.267,0.019
15.88,36.352,0.021
16.34,31.062,0.023
16.79,26.58,0.026000000000000002
17.24,22.644,0.028
17.7,19.255,0.03
18.15,16.391,0.032
18.61,13.811,0.033
19.06,11.716,0.035
19.51,9.921,0.041
19.97,8.364,0.055
20.42,7.087,0.088
20.87,5.801,0.155
21.33,4.523,0.28200000000000003
