freq_icm,intensity_MJy_sr,uncertainty_MJy_sr
2.000000000000000000e+00,1.664521687086757709e+02,3.831389305076142726e+00
2.451999999999999957e+00,2.219737085857927070e+02,3.831389305076142726e+00
2.904999999999999805e+00,2.615346524460637170e+02,3.831389305076142726e+00
3.357000000000000206e+00,3.101690832359231536e+02,3.831389305076142726e+00
3.810000000000000053e+00,3.436936180058593777e+02,3.831389305076142726e+00
4.261999999999999567e+00,3.605169214537844482e+02,3.831389305076142726e+00
4.714000000000000412e+00,3.783241357751628016e+02,3.831389305076142726e+00
5.166999999999999815e+00,3.841003508690986905e+02,3.831389305076142726e+00
5.618999999999999773e+00,3.809385242752050544e+02,3.831389305076142726e+00
6.070999999999999730e+00,3.723235848628784197e+02,3.831389305076142726e+00
6.524000000000000021e+00,3.559248013934463870e+02,3.831389305076142726e+00
6.975999999999999979e+00,3.532289417054867044e+02,3.831389305076142726e+00
7.429000000000000270e+00,3.287311320026768726e+02,3.831389305076142726e+00
7.881000000000000227e+00,3.176504639638125127e+02,3.831389305076142726e+00
8.333000000000000185e+00,2.889829291919344882e+02,3.831389305076142726e+00
8.785999999999999588e+00,2.641130797029469477e+02,3.831389305076142726e+00
9.237999999999999545e+00,2.378355160673378634e+02,3.831389305076142726e+00
9.689999999999999503e+00,2.234760444432019710e+02,3.831389305076142726e+00
1.014300000000000068e+01,1.947733441954882494e+02,3.831389305076142726e+00
1.059500000000000064e+01,1.824377446402926353e+02,3.831389305076142726e+00
1.104800000000000004e+01,1.558296273981270872e+02,3.831389305076142726e+00
1.150000000000000000e+01,1.404166781575376035e+02,3.831389305076142726e+00
1.195199999999999996e+01,1.176411294322811329e+02,3.831389305076142726e+00
1.240499999999999936e+01,1.176216685041259780e+02,3.831389305076142726e+00
1.285699999999999932e+01,9.488784987501298929e+01,3.831389305076142726e+00
1.331000000000000050e+01,8.169946411529552677e+01,3.831389305076142726e+00
1.376200000000000045e+01,7.551292098255717633e+01,3.831389305076142726e+00
1.421400000000000041e+01,5.941530945263313868e+01,3.831389305076142726e+00
1.466699999999999982e+01,5.728104509253985555e+01,3.831389305076142726e+00
1.511899999999999977e+01,4.239170281589908029e+01,3.831389305076142726e+00
1.557099999999999973e+01,4.242416968713174441e+01,3.831389305076142726e+00
1.602400000000000091e+01,3.060522341807352475e+01,3.831389305076142726e+00
1.647599999999999909e+01,2.259102715388100791e+01,3.831389305076142726e+00
1.692899999999999849e+01,2.302813740315787072e+01,3.831389305076142726e+00
1.738100000000000023e+01,1.596099487430729980e+01,3.831389305076142726e+00
1.783299999999999841e+01,2.047001733063686046e+01,3.831389305076142726e+00
1.828600000000000136e+01,1.565850937618354344e+01,3.831389305076142726e+00
1.873799999999999955e+01,1.515279377593066279e+01,3.831389305076142726e+00
1.919000000000000128e+01,1.151868011972433870e+01,3.831389305076142726e+00
1.964300000000000068e+01,8.074608663526312569e+00,3.831389305076142726e+00
2.009499999999999886e+01,8.060602372566378904e+00,3.831389305076142726e+00
2.054799999999999827e+01,1.072655114235325691e+01,3.831389305076142726e+00
2.100000000000000000e+01,4.926838368385005218e+00,3.831389305076142726e+00
