ell,Dl_muK2,dDl_muK2,planck_bestfit
47.711224,0.740661638,0.660646283,1.02904074
76.4716065,-7.770126,0.843982339,-8.55163224
105.917385,-27.3961489,1.16119366,-26.5769809
135.605348,-41.7296295,1.41644907,-42.6131713
165.405597,-46.6848311,1.49225779,-43.4116442
195.26687,-19.4602301,1.46326323,-21.2227309
225.164945,21.7421286,1.59717406,21.1303023
255.086908,68.2563156,1.97801118,70.2923029
285.025248,107.731293,2.35240984,107.898473
314.975304,119.378961,2.49179651,118.474043
344.934027,92.9381604,2.35588981,96.3387231
374.899344,47.152372,2.09013949,48.4466976
404.869791,-8.16462484,1.91192538,-8.22015006
434.844309,-55.0686284,1.88080347,-53.6521676
464.822111,-76.2071916,1.86654843,-73.0260537
494.802601,-64.1662972,1.7897703,-62.5895071
524.78532,-31.2072275,1.67437225,-30.8673325
554.769905,4.60785784,1.76691262,5.07284777
584.756069,25.4254506,1.93763004,26.9296601
614.743583,24.0162893,2.07008084,22.7425101
644.732258,-5.07511156,2.14691724,-8.29730512
674.721939,-58.9325057,2.22710214,-55.7279714
704.712498,-99.2013219,2.33382651,-102.00219
734.703827,-127.368099,2.41179735,-129.670784
764.695836,-122.19631,2.40485517,-127.951113
794.688447,-93.532265,2.33304995,-96.7587548
824.681596,-46.2438081,2.27381549,-46.4266405
854.675226,6.15256225,2.277191,6.34697621
884.669287,44.5976027,2.30835168,44.7722827
914.663738,60.6380162,2.29690863,57.8711231
944.658541,46.2980421,2.22080569,43.914395
974.653663,14.0205694,2.12864407,10.3260864
1004.64908,-33.8361275,2.20829876,-29.6720907
1034.64476,-57.6422432,2.29393418,-62.1455116
1064.64068,-79.2433855,2.36042115,-77.2999132
1094.63683,-69.8143864,2.42351549,-72.4534376
1124.63318,-48.4699788,2.46926676,-52.1768034
1154.62972,-22.8085844,2.49860382,-25.8896508
1184.62643,-5.96347149,2.50770874,-3.99800322
1214.62331,3.70286891,2.49244542,5.8861593
1244.62034,0.454689026,2.464618,1.33759978
1274.61751,-13.9487808,2.45679179,-14.6015687
1304.61481,-37.8166393,2.50172023,-35.0683872
1334.61223,-51.5933833,2.60555527,-52.2106497
1364.60976,-62.9567687,2.74521159,-60.0275563
1394.6074,-57.2560832,2.88830799,-56.2718213
1424.60514,-44.2513037,3.01013658,-42.8146314
1454.60297,-27.8445302,3.09755868,-24.5783056
1484.60089,-2.87064314,3.14669082,-7.52605336
1514.5989,6.32897959,3.16479665,3.43226051
1544.59698,8.70758155,3.17133288,5.9551343
1574.59513,-3.70691879,3.19454206,0.703060091
1604.59335,-8.36046713,3.26353834,-9.26560297
1634.59164,-24.3971239,3.3944536,-19.8410346
1664.58999,-22.44571,3.58332414,-27.3467001
1694.58839,-28.8003419,3.81067775,-29.6948627
1724.58686,-27.8324103,4.05344031,-26.8298996
1754.58537,-13.3227916,4.29444107,-20.4470385
1784.58394,-15.8497558,4.52722609,-13.1492198
1814.58255,-3.15307514,4.75681291,-7.4480671
1844.58121,-4.34825165,4.99746748,-4.92346538
1874.57991,0.393331639,5.26855879,-5.8397943
1904.57865,-8.06061851,5.58810627,-9.24270703
1934.57743,-9.14853494,5.9668792,-13.4680117
1964.57625,-20.6383392,6.40554363,-16.7937174
1988.02414,-27.7939576,9.12064389,-18.0434403
