ell,Cl_te_muK2,dCl
4.950000000000000000e+01,1.408186057909909146e-03,3.148799750454012088e-05
8.950000000000000000e+01,-1.256379165978878734e-02,2.093965276631464521e-04
1.295000000000000000e+02,-1.469950730825362803e-02,2.038454897075619066e-04
1.695000000000000000e+02,-8.893332517147786720e-03,1.078474980351191396e-04
2.095000000000000000e+02,-2.994303086627541537e-04,3.267052511454910293e-06
2.495000000000000000e+02,6.187371961628993985e-03,6.187371961628994636e-05
2.895000000000000000e+02,8.188632311435465466e-03,7.602954231397711848e-05
3.295000000000000000e+02,6.158860793066293568e-03,5.360600251072152441e-05
3.695000000000000000e+02,2.577914512116940594e-03,2.119032675759046304e-05
4.095000000000000000e+02,-6.484909203326543175e-04,5.063863328947748425e-06
4.495000000000000000e+02,-2.093954205979295553e-03,1.560741315447100445e-05
4.895000000000000000e+02,-1.681592899303121754e-03,1.201137785216515577e-05
5.295000000000000000e+02,-5.145219345006538233e-04,3.533751154349011878e-06
5.695000000000000000e+02,3.723688368808115946e-04,2.466072866056550910e-06
6.095000000000000000e+02,4.201709277009056079e-04,2.689868731066718285e-06
6.495000000000000000e+02,-2.683848089509818140e-04,1.664451927300522321e-06
6.895000000000000000e+02,-1.059182415877651636e-03,6.375528935443853546e-06
7.295000000000000000e+02,-1.471203460750346000e-03,8.609567040256897036e-06
7.695000000000000000e+02,-1.273988659208513934e-03,7.259224100322174552e-06
8.095000000000000000e+02,-6.513816582260718770e-04,3.618786990144843912e-06
8.495000000000000000e+02,1.471033683314075199e-05,7.977800259699661200e-08
8.895000000000000000e+02,3.917872258552652573e-04,2.076468144100770665e-06
9.295000000000000000e+02,3.809620598731910295e-04,1.975196268067495999e-06
9.695000000000000000e+02,8.572296680720160173e-05,4.351924280578433383e-07
1.009500000000000000e+03,-2.364452389808765955e-04,1.176359031170304245e-06
1.049500000000000000e+03,-4.142279562724269430e-04,2.021225463717916281e-06
1.089500000000000000e+03,-3.774778029302666314e-04,1.807790808670695706e-06
1.129500000000000000e+03,-2.173607217151597953e-04,1.022378834421852721e-06
1.169500000000000000e+03,-5.690308626161543881e-05,2.630346092928268440e-07
1.209500000000000000e+03,2.537780758656854940e-05,1.153536708480388609e-07
1.249500000000000000e+03,-1.099838802502189886e-05,4.918628653373725100e-08
1.289500000000000000e+03,-9.806635565182178743e-05,4.317130585684872953e-07
1.329500000000000000e+03,-1.776683129265804750e-04,7.702898270358450631e-07
1.369500000000000000e+03,-1.980370368824393241e-04,8.459722948602432806e-07
1.409500000000000000e+03,-1.518904555207223632e-04,6.395741945422249342e-07
1.449500000000000000e+03,-7.415432799418181784e-05,3.079090875754226005e-07
1.489500000000000000e+03,-9.065463560454411807e-06,3.713358561513223081e-08
1.529500000000000000e+03,1.541368536874899374e-05,6.230613025038197036e-08
1.569500000000000000e+03,2.409501226242191677e-06,9.614956633862729289e-09
1.609500000000000000e+03,-2.919614007947397686e-05,1.150489090932396274e-07
1.649500000000000000e+03,-5.693080346186084404e-05,2.216028519266292070e-07
1.689500000000000000e+03,-6.358392906302977364e-05,2.445535733193452849e-07
1.729500000000000000e+03,-5.155094461840770446e-05,1.959672871076483379e-07
1.769500000000000000e+03,-3.019485306827716692e-05,1.134792068744978179e-07
1.809500000000000000e+03,-1.401471921362478587e-05,5.208529376392496989e-08
1.849500000000000000e+03,-8.504996872228778914e-06,3.126499030662349086e-08
1.889500000000000000e+03,-1.305165498981006928e-05,4.746841026607359949e-08
1.929500000000000000e+03,-2.226872032019572046e-05,8.014687817747196150e-08
1.969500000000000000e+03,-2.808257617865590340e-05,1.000400354394988826e-07
