ell,Cl_tt_muK2,dCl
4.950000000000000000e+01,3.676852802112190233e+00,8.221692808783440110e-02
8.950000000000000000e+01,1.873984675083805840e+00,3.123307791806342881e-02
1.295000000000000000e+02,1.365875751941098892e+00,1.894128869052524866e-02
1.695000000000000000e+02,1.053505202698089338e+00,1.277562714077048849e-02
2.095000000000000000e+02,8.075793778681965573e-01,8.811413401824657460e-03
2.495000000000000000e+02,5.443825625321263573e-01,5.443825625321263746e-03
2.895000000000000000e+02,3.256209079405458229e-01,3.023314230876916146e-03
3.295000000000000000e+02,1.755542413900241239e-01,1.528003541712807424e-03
3.695000000000000000e+02,9.626767476589219441e-02,7.913154120877088004e-04
4.095000000000000000e+02,6.374874283222259352e-02,4.977940491888757082e-04
4.495000000000000000e+02,5.969115771896225942e-02,4.449116210508696767e-04
4.895000000000000000e+02,6.048280471403259806e-02,4.320200336716614070e-04
5.295000000000000000e+02,5.693932838796171569e-02,3.910609129115009378e-04
5.695000000000000000e+02,4.728640174578402355e-02,3.131618458073395913e-04
6.095000000000000000e+02,3.551026924800553680e-02,2.273312040045846511e-04
6.495000000000000000e+02,2.709995216455072381e-02,1.680667687055147151e-04
6.895000000000000000e+02,2.376231326665814714e-02,1.430323176948966168e-04
7.295000000000000000e+02,2.403299501890208620e-02,1.406424653785595951e-04
7.695000000000000000e+02,2.455277400992083789e-02,1.399024139926897557e-04
8.095000000000000000e+02,2.348952842877467806e-02,1.304973801598593292e-04
8.495000000000000000e+02,2.023283868826248819e-02,1.097279739903950116e-04
8.895000000000000000e+02,1.559309380869393011e-02,8.264323189977931512e-05
9.295000000000000000e+02,1.100411686334918857e-02,5.705368815230796168e-05
9.695000000000000000e+02,7.782750556954268033e-03,3.951092966097526971e-05
1.009500000000000000e+03,6.363509315218970550e-03,3.165964214445288275e-05
1.049500000000000000e+03,6.089813666990540400e-03,2.971524800929521522e-05
1.089500000000000000e+03,6.203299417876779846e-03,2.970841618769723473e-05
1.129500000000000000e+03,5.976751723771741957e-03,2.811227535849857370e-05
1.169500000000000000e+03,5.215698575377757974e-03,2.410957519344741600e-05
1.209500000000000000e+03,4.177217388556038469e-03,1.898735176616381134e-05
1.249500000000000000e+03,3.270962521262950427e-03,1.462818909879611867e-05
1.289500000000000000e+03,2.711878293533403778e-03,1.193837850693135897e-05
1.329500000000000000e+03,2.535811010127254298e-03,1.099413503855185695e-05
1.369500000000000000e+03,2.553438679946661797e-03,1.090774944861303966e-05
1.409500000000000000e+03,2.516132814727152413e-03,1.059483041790489492e-05
1.449500000000000000e+03,2.309463716271175499e-03,9.589526126127066329e-06
1.489500000000000000e+03,1.955240238351312661e-03,8.008976077703262059e-06
1.529500000000000000e+03,1.537769660027504034e-03,6.216065427611333036e-06
1.569500000000000000e+03,1.189163778051762150e-03,4.745280073735389073e-06
1.609500000000000000e+03,9.606251052828480852e-04,3.785393209839721396e-06
1.649500000000000000e+03,8.697690941689177266e-04,3.385571607374133454e-06
1.689500000000000000e+03,8.426882228248690904e-04,3.241108549326419572e-06
1.729500000000000000e+03,8.098467249826300524e-04,3.078575316953363831e-06
1.769500000000000000e+03,7.411062760929547615e-04,2.785247943766186603e-06
1.809500000000000000e+03,6.402871602541528474e-04,2.379608490670665586e-06
1.849500000000000000e+03,5.316936662402465315e-04,1.954544789472470146e-06
1.889500000000000000e+03,4.388934397297421350e-04,1.596240007604033625e-06
1.929500000000000000e+03,3.877640648673201431e-04,1.395593407329177692e-06
1.969500000000000000e+03,3.632970360693322555e-04,1.294192104464556258e-06
