ell,Dl_muK2,dDl_muK2
4.771122400000000141e+01,1.296943132274816834e+00,6.606462829999999453e-01
7.647160649999999293e+01,-8.259673799987547582e+00,8.439823389999999703e-01
1.059173849999999959e+02,-2.818742001844876910e+01,1.161193659999999905e+00
1.356053479999999922e+02,-4.178014447071214477e+01,1.416449070000000088e+00
1.654055970000000002e+02,-4.258073100874005235e+01,1.492257790000000028e+00
1.952668700000000115e+02,-1.855868578132712798e+01,1.463263229999999915e+00
2.251649449999999888e+02,2.414739740057953199e+01,1.597174059999999951e+00
2.550869079999999940e+02,7.197863645140895983e+01,1.978011179999999980e+00
2.850252479999999764e+02,1.076945751412461050e+02,2.352409839999999974e+00
3.149753039999999942e+02,1.200060012665226452e+02,2.491796509999999909e+00
3.449340270000000146e+02,9.479467866532698395e+01,2.355889809999999862e+00
3.748993439999999850e+02,4.200992505827653645e+01,2.090139489999999878e+00
4.048697910000000206e+02,-1.268990678855608500e+01,1.911925380000000008e+00
4.348443090000000097e+02,-5.701196320376757853e+01,1.880803470000000033e+00
4.648221110000000067e+02,-7.427274022267629050e+01,1.866548429999999925e+00
4.948026009999999815e+02,-5.743898498338460001e+01,1.789770300000000036e+00
5.247853199999999561e+02,-2.919347154060205796e+01,1.674372250000000006e+00
5.547699049999999943e+02,8.470248611307898301e+00,1.766912620000000045e+00
5.847560690000000250e+02,3.186104579348825894e+01,1.937630039999999942e+00
6.147435829999999441e+02,2.408414604067734643e+01,2.070080840000000144e+00
6.447322580000000016e+02,-8.443369373004157907e+00,2.146917240000000060e+00
6.747219390000000203e+02,-5.450521067649790297e+01,2.227102139999999952e+00
7.047124979999999823e+02,-1.027444440849324252e+02,2.333826510000000187e+00
7.347038270000000466e+02,-1.288861534084546179e+02,2.411797350000000062e+00
7.646958359999999857e+02,-1.239539696549659453e+02,2.404855169999999820e+00
7.946884469999999965e+02,-9.169036942606491891e+01,2.333049949999999928e+00
8.246815960000000132e+02,-4.314575684948550105e+01,2.273815490000000050e+00
8.546752259999999524e+02,7.917231153180877889e+00,2.277191000000000187e+00
8.846692870000000539e+02,4.694340685269989422e+01,2.308351679999999906e+00
9.146637379999999666e+02,6.109220404172177155e+01,2.296908629999999896e+00
9.446585410000000138e+02,4.118882845327200926e+01,2.220805690000000165e+00
9.746536630000000514e+02,9.274689151127878617e+00,2.128644069999999999e+00
1.004649080000000026e+03,-3.221460841421180987e+01,2.208298759999999916e+00
1.034644759999999906e+03,-6.499661218389701389e+01,2.293934179999999934e+00
1.064640679999999975e+03,-8.364108418875733264e+01,2.360421150000000079e+00
1.094636829999999918e+03,-7.001909272877330181e+01,2.423515490000000216e+00
1.124633180000000038e+03,-4.964497360543787607e+01,2.469266760000000005e+00
1.154629719999999907e+03,-2.642373221527591554e+01,2.498603820000000031e+00
1.184626430000000028e+03,-7.766809345284775290e-02,2.507708739999999992e+00
1.214623309999999947e+03,6.957542260175090476e+00,2.492445420000000134e+00
1.244620339999999942e+03,1.826295633593805423e+00,2.464618000000000198e+00
1.274617510000000038e+03,-1.756747094330308911e+01,2.456791790000000031e+00
1.304614810000000034e+03,-3.623069810911339061e+01,2.501720230000000100e+00
1.334612229999999954e+03,-5.440063767076564005e+01,2.605555269999999979e+00
1.364609760000000051e+03,-5.677730989875927037e+01,2.745211589999999813e+00
1.394607400000000098e+03,-5.420094249633410755e+01,2.888307989999999936e+00
1.424605139999999892e+03,-4.434615050741346209e+01,3.010136580000000173e+00
1.454602969999999914e+03,-2.094818159734345642e+01,3.097558680000000120e+00
1.484600889999999936e+03,-4.854402707898682223e+00,3.146690819999999889e+00
1.514598899999999958e+03,4.196376823926243560e+00,3.164796649999999989e+00
1.544596980000000030e+03,1.848629957395716339e+00,3.171332880000000021e+00
1.574595129999999926e+03,3.265391557554657265e+00,3.194542059999999850e+00
1.604593350000000100e+03,-1.296272263888988441e+01,3.263538340000000204e+00
1.634591640000000098e+03,-1.564653492759469700e+01,3.394453599999999849e+00
1.664589989999999943e+03,-3.027300910000726475e+01,3.583324140000000213e+00
1.694588389999999890e+03,-2.928512610275797456e+01,3.810677749999999975e+00
1.724586859999999888e+03,-2.596773476507285849e+01,4.053440310000000046e+00
1.754585370000000012e+03,-1.831269454488039727e+01,4.294441070000000416e+00
1.784583939999999984e+03,3.067851660698686089e-01,4.527226090000000092e+00
1.814582550000000083e+03,-8.694809761805977644e+00,4.756812909999999839e+00
1.844581210000000056e+03,5.965215488163835289e+00,4.997467480000000073e+00
1.874579909999999927e+03,-2.563566613302545427e+00,5.268558790000000158e+00
1.904578649999999925e+03,-1.349748883588765480e+01,5.588106269999999931e+00
1.934577430000000049e+03,-6.403935038228596888e+00,5.966879200000000161e+00
1.964576250000000073e+03,-1.161699559253405312e+01,6.405543630000000377e+00
1.988024139999999989e+03,-9.171063406897252079e+00,9.120643890000000198e+00
