ell,Dl_muK2,dDl_muK2
4.771122400000000141e+01,1.411832783114619360e+03,5.076548760000000016e+01
7.647160649999999293e+01,2.020974086003159755e+03,5.471015760000000228e+01
1.059173849999999959e+02,2.821782327692736999e+03,6.497664399999999318e+01
1.356053479999999922e+02,3.759118530356595329e+03,7.691437439999999981e+01
1.654055970000000002e+02,4.643318640752207102e+03,8.658562589999999659e+01
1.952668700000000115e+02,5.465933028649810694e+03,9.055334589999999650e+01
2.251649449999999888e+02,5.563956785992055302e+03,8.713488110000000120e+01
2.550869079999999940e+02,5.200675933029043335e+03,7.693836969999999553e+01
2.850252479999999764e+02,4.458610172707089077e+03,6.251991410000000116e+01
3.149753039999999942e+02,3.480754027051079447e+03,4.715894389999999703e+01
3.449340270000000146e+02,2.492192227993184588e+03,3.387621910000000014e+01
3.748993439999999850e+02,1.966555159004065899e+03,2.481905619999999857e+01
4.048697910000000206e+02,1.657273049499462331e+03,2.071090829999999983e+01
4.348443090000000097e+02,1.831339965751003319e+03,2.067136950000000084e+01
4.648221110000000067e+02,2.092608768608856280e+03,2.275238609999999895e+01
4.948026009999999815e+02,2.365728220115185195e+03,2.497261040000000065e+01
5.247853199999999561e+02,2.576367537331511357e+03,2.591841180000000122e+01
5.547699049999999943e+02,2.509026476514478418e+03,2.505105379999999826e+01
5.847560690000000250e+02,2.325960665823537056e+03,2.272092830000000063e+01
6.147435829999999441e+02,2.048586386195383966e+03,1.985054879999999855e+01
6.447322580000000016e+02,1.854754315080998140e+03,1.750252640000000071e+01
6.747219390000000203e+02,1.782482737950497267e+03,1.643060440000000000e+01
7.047124979999999823e+02,1.843132608138990918e+03,1.679906430000000128e+01
7.347038270000000466e+02,2.057942058575186365e+03,1.816454759999999879e+01
7.646958359999999857e+02,2.311560659122845209e+03,1.973635379999999984e+01
7.946884469999999965e+02,2.458543991217703024e+03,2.070622200000000035e+01
8.246815960000000132e+02,2.423545561553799871e+03,2.051976200000000006e+01
8.546752259999999524e+02,2.346632469476649931e+03,1.903810310000000072e+01
8.846692870000000539e+02,1.977846950265176474e+03,1.657903479999999874e+01
9.146637379999999666e+02,1.635279108805690839e+03,1.373749169999999964e+01
9.446585410000000138e+02,1.330382578740322288e+03,1.114204830000000079e+01
9.746536630000000514e+02,1.127905941380684908e+03,9.286464750000000379e+00
1.004649080000000026e+03,1.040463219459761831e+03,8.379870000000000374e+00
1.034644759999999906e+03,1.034937004675705793e+03,8.300747729999999436e+00
1.064640679999999975e+03,1.106432572589477786e+03,8.685754340000000795e+00
1.094636829999999918e+03,1.187224698265902362e+03,9.112749839999999324e+00
1.124633180000000038e+03,1.212806733581526487e+03,9.260506279999999535e+00
1.154629719999999907e+03,1.179644547403386696e+03,8.985281219999999180e+00
1.184626430000000028e+03,1.070952779499176131e+03,8.331710310000000064e+00
1.214623309999999947e+03,9.532119448359326270e+02,7.545086650000000006e+00
1.244620339999999942e+03,8.278122247613918034e+02,6.643226440000000288e+00
1.274617510000000038e+03,7.234148702590102857e+02,5.985857349999999855e+00
1.304614810000000034e+03,7.024872668910427365e+02,5.686660859999999929e+00
1.334612229999999954e+03,7.161579217194507692e+02,5.718004849999999806e+00
1.364609760000000051e+03,7.564538802414713246e+02,5.940893879999999960e+00
1.394607400000000098e+03,7.840524939407961256e+02,6.172434690000000224e+00
1.424605139999999892e+03,7.906633335922127799e+02,6.256328820000000235e+00
1.454602969999999914e+03,7.646547534929082985e+02,6.111434299999999986e+00
1.484600889999999936e+03,7.084839426464856160e+02,5.745446669999999756e+00
1.514598899999999958e+03,6.129870375165619407e+02,5.242586239999999620e+00
1.544596980000000030e+03,5.227932999652291528e+02,4.723932539999999847e+00
1.574595129999999926e+03,4.553280113559451365e+02,4.300796000000000063e+00
1.604593350000000100e+03,3.974293661073455723e+02,4.044424160000000157e+00
1.634591640000000098e+03,3.749108020060833155e+02,3.968335909999999966e+00
1.664589989999999943e+03,3.766115483231366170e+02,4.034239209999999964e+00
1.694588389999999890e+03,3.850540455035867353e+02,4.173562819999999896e+00
1.724586859999999888e+03,3.926107297394885336e+02,4.316655100000000189e+00
1.754585370000000012e+03,3.767362642896783314e+02,4.415864919999999749e+00
1.784583939999999984e+03,3.523543635036165256e+02,4.457334269999999599e+00
1.814582550000000083e+03,3.271983077848482253e+02,4.458929259999999672e+00
1.844581210000000056e+03,2.954623152970381739e+02,4.457492769999999993e+00
1.874579909999999927e+03,2.546238840149942746e+02,4.493504510000000174e+00
1.904578649999999925e+03,2.367481801518921714e+02,4.596528069999999744e+00
1.934577430000000049e+03,2.287276059090169724e+02,4.777580930000000059e+00
1.964576250000000073e+03,2.251900010957837139e+02,5.028666659999999844e+00
1.994575100000000020e+03,2.251895982962421954e+02,5.428398790000000140e+00
2.024573990000000094e+03,2.228033880356685472e+02,5.868803390000000064e+00
2.054572909999999865e+03,2.139531560115891011e+02,6.200249689999999703e+00
2.084571860000000015e+03,2.009027784851304546e+02,6.533230829999999933e+00
2.114570839999999862e+03,1.974193544378206298e+02,6.873936289999999616e+00
2.144569849999999860e+03,1.610331692770000700e+02,7.237897130000000345e+00
2.174568890000000010e+03,1.587310539008328476e+02,7.644179219999999830e+00
2.204567950000000110e+03,1.222627040430426035e+02,8.109659969999999163e+00
2.234567039999999906e+03,1.464886905365002008e+02,8.645417030000000835e+00
2.264566150000000107e+03,9.847099720600152750e+01,9.255566699999999258e+00
2.294565290000000005e+03,1.270108228917429614e+02,9.938613390000000436e+00
2.324564440000000104e+03,9.929356691630647447e+01,1.069050479999999936e+01
2.354563619999999901e+03,1.048307992371981925e+02,1.150857519999999923e+01
2.384562820000000102e+03,1.009431755721622466e+02,1.239267219999999980e+01
2.414562039999999797e+03,8.674798113096943553e+01,1.334331290000000081e+01
2.444561279999999897e+03,1.199241863239832639e+02,1.438197390000000020e+01
2.474560539999999946e+03,8.155342359830694932e+01,1.551135610000000042e+01
2.499023999999999887e+03,4.664347603916704088e+01,2.093982689999999991e+01
