body,jd_tdb,x_au,y_au,z_au
mercury,2451544.50000000,-0.1407280797,-0.4439009580,-0.0233455592
mercury,2455362.50000000,0.3248149737,0.0911079371,-0.0223606458
mercury,2461203.50000000,-0.3908738814,-0.1413470341,0.0242984845
venus,2451544.50000000,-0.7186302169,-0.0225038007,0.0411718413
venus,2455362.50000000,-0.7185683276,0.0162529170,0.0416923767
venus,2461203.50000000,-0.7174572044,0.0410616871,0.0419608597
earth,2451544.50000000,-0.1685246484,0.9687833049,-0.0000041205
earth,2455362.50000000,-0.1120084654,-1.0095523935,0.0000248948
earth,2461203.50000000,-0.1640894540,-1.0020463569,0.0000587037
mars,2451544.50000000,1.3903610660,-0.0210097223,-0.0346180144
mars,2455362.50000000,-1.6141658043,-0.2753698761,0.0338660597
mars,2461203.50000000,1.2941656816,0.5890285398,-0.0193898333
jupiter,2451544.50000000,4.0034601080,2.9353536158,-0.1018230356
jupiter,2455362.50000000,4.8821883192,-0.9268553562,-0.1054058720
jupiter,2461203.50000000,-2.8090733278,4.4582702916,0.0443294320
saturn,2451544.50000000,6.4085547274,6.5680441428,-0.3691278824
saturn,2455362.50000000,-9.4938501513,-0.6622902466,0.3894321497
saturn,2461203.50000000,9.3894529888,1.1565676690,-0.3938982745
